Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0009/G,SCHERMO C/VITI X 4023/24-4324,  20.00 ,3
0009/P,SCHERMO C/VITI X 4021/22-4322,  18.00 ,3
0031/IP,ALIM. LED AL 1435-IP 350mA 14W,  43.00 ,3
0033/IP,"ALIM. LED 24V AL1424S-IP 14,4W",  44.00 ,3
0034/IP,ALIM. LED IP 24V 70W 122479,  140.00 ,3
0035/IP,ALIM. LED IP 24V 160W,  145.00 ,3
0036/IP,"ALIM. LED 12V AL1412S-IP 14,4W",  41.00 ,3
0037/IP,ALIM. LED 24V 60W IP65,  68.00 ,3
0038/IP,ALIM. LED 24V 100W IP65,  88.00 ,3
0039/IP,ALIM. LED 24V 150W IP65,  93.00 ,3
0092.00,CLIP FISSAGGIO LANCIA,  10.00 ,3
0092/16,"LAMP. G9 3,5W 3000K",  13.00 ,3
0093.00,CLIP FISSAGGIO SOFF. LANCIA,  2.00 ,3
0093/19,LAMP. GU10 3W 3000K,  8.50 ,3
0094/W,LAMP. GU10 7W 4000K,  7.00 ,3
0094/WW,LAMP. GU10 7W 3000K,  7.00 ,3
0094/XW,LAMP. GU10 7W 2700K,  7.00 ,3
0102.57,LAMP. E27 2700K DIM,  25.00 ,3
0102/MINI.57,LAMP. E27 2700K DIM,  12.50 ,3
0103/W,LAMP. GX53 8W 4000K DIM,  20.50 ,3
0103/WW,LAMP. GX53 8W 3000K DIM,  16.50 ,3
0103/XW,LAMP. GX53 8W 2700K DIM,  20.50 ,3
0104/W,LAMP. GU10 7W 4000K DIM,  9.00 ,3
0104/WW,LAMP. GU10 7W 3000K DIM,  9.00 ,3
0104/XW,LAMP. GU10 7W 2700K DIM,  9.00 ,3
0105/13,LAMP. E27 3000K,  8.00 ,1
0105/MINI,LAMP. E14 3000K,  7.50 ,3
0106/ML/W,LAMP. E27 4000K,  21.00 ,3
0106/ML/XW,LAMP. E27 2700K,  21.00 ,3
0106/PW/W,LAMP. E27 4000K,  58.00 ,3
0106/PW/WW,LAMP. E27 3000K,  58.00 ,3
0106/TR/XW,LAMP. E27 2700K,  19.00 ,3
0107/24V/W,MODULO LED 24V 4000K ,  67.00 ,1
0107/24V/WW,MODULO LED 24V 3000K ,  67.00 ,1
0107/24V/XW,MODULO LED 24V 2700K ,  67.00 ,1
0107/W/24,"COB LED 5,9W 4000K",  38.00 ,3
0107/W/40,"COB LED 5,9W  4000K",  38.00 ,3
0107/W/60,"COB LED 5,9W  4000K",  38.00 ,3
0107/W/ST,"COB LED 5,9W  4000K",  38.00 ,1
0107/WW/24,"COB LED 5,9W 3000K",  38.00 ,3
0107/WW/40,"COB LED 5,9W 3000K",  38.00 ,3
0107/WW/60,"COB LED 5,9W 3000K",  38.00 ,3
0107/WW/ST,"COB LED 5,9W 3000K",  38.00 ,1
0107/XW/24,"COB LED 5,9W 2700K ",  38.00 ,3
0107/XW/40,"COB LED 5,9W 2700K ",  38.00 ,3
0107/XW/60,"COB LED 5,9W 2700K ",  38.00 ,3
0107/XW/ST,"COB LED 5,9W 2700K ",  38.00 ,1
0108/W/24,"COB LED 8,7W 4000K",  41.00 ,3
0108/W/40,"COB LED 8,7W 4000K",  41.00 ,3
0108/W/60,"COB LED 8,7W 4000K",  41.00 ,3
0108/W/ST,"COB LED 8,7W 4000K",  41.00 ,1
0108/W/IP/24,"COB LED 8,7W 4000K IP54",  63.00 ,3
0108/W/IP/38,"COB LED 8,7W 4000K IP54",  63.00 ,3
0108/W/IP/58,"COB LED 8,7W 4000K IP54",  63.00 ,3
0108/WW/24,"COB LED 8,7W 3000K",  41.00 ,3
0108/WW/40,"COB LED 8,7W 3000K",  41.00 ,3
0108/WW/60,"COB LED 8,7W 3000K",  41.00 ,3
0108/WW/ST,"COB LED 8,7W 3000K",  41.00 ,1
0108/WW/IP/24,"COB LED 8,7W 3000K IP54",  63.00 ,3
0108/WW/IP/38,"COB LED 8,7W 3000K IP54",  63.00 ,3
0108/WW/IP/58,"COB LED 8,7W 3000K IP54",  63.00 ,3
0108/XW/24,"COB LED 8,7W 2700K ",  41.00 ,3
0108/XW/40,"COB LED 8,7W 2700K ",  41.00 ,3
0108/XW/60,"COB LED 8,7W 2700K ",  41.00 ,3
